id,sentence,difficulty
0,Il fait beau aujourd'hui.,A1
1,Il a un chien.,A1
2,"Bonjour, comment ça va?",A1
3,Je suis étudiant.,A1
4,"Bonjour, comment ça va?",A1
5,Elle est ma soeur.,A1
6,"Bonjour, comment ça va?",A1
7,Il a un chien.,A1
8,Tu as un livre.,A1
9,Nous allons à l'école.,A1
10,Elle est ma soeur.,A1
11,Je suis étudiant.,A1
12,Il fait beau aujourd'hui.,A1
13,Je m'appelle Marie.,A1
14,Je m'appelle Marie.,A1
15,Je m'appelle Marie.,A1
16,J'aime le chocolat.,A1
17,Voici mon chat.,A1
18,Elle est ma soeur.,A1
19,J'aime le chocolat.,A1
20,Il a un chien.,A1
21,Nous allons à l'école.,A1
22,Voici mon chat.,A1
23,Il a un chien.,A1
24,Je m'appelle Marie.,A1
25,Nous allons à l'école.,A1
26,Voici mon chat.,A1
27,Nous allons à l'école.,A1
28,Il fait beau aujourd'hui.,A1
29,Il fait beau aujourd'hui.,A1
30,Je suis étudiant.,A1
31,Voici mon chat.,A1
32,Il fait beau aujourd'hui.,A1
33,Je m'appelle Marie.,A1
34,"Bonjour, comment ça va?",A1
35,Je m'appelle Marie.,A1
36,Nous allons à l'école.,A1
37,"Bonjour, comment ça va?",A1
38,Nous allons à l'école.,A1
39,"Bonjour, comment ça va?",A1
40,Je m'appelle Marie.,A1
41,Nous allons à l'école.,A1
42,J'aime le chocolat.,A1
43,Voici mon chat.,A1
44,Nous allons à l'école.,A1
45,J'aime le chocolat.,A1
46,Elle est ma soeur.,A1
47,"Bonjour, comment ça va?",A1
48,Il a un chien.,A1
49,Voici mon chat.,A1
50,Nous allons à l'école.,A1
51,Il a un chien.,A1
52,Tu as un livre.,A1
53,J'aime le chocolat.,A1
54,Je suis étudiant.,A1
55,Elle est ma soeur.,A1
56,Voici mon chat.,A1
57,Tu as un livre.,A1
58,Il fait beau aujourd'hui.,A1
59,Il a un chien.,A1
60,Elle est ma soeur.,A1
61,"Bonjour, comment ça va?",A1
62,Elle est ma soeur.,A1
63,Tu as un livre.,A1
64,Elle est ma soeur.,A1
65,Il a un chien.,A1
66,Il fait beau aujourd'hui.,A1
67,Tu as un livre.,A1
68,Nous allons à l'école.,A1
69,Il a un chien.,A1
70,Nous allons à l'école.,A1
71,Je suis étudiant.,A1
72,J'aime le chocolat.,A1
73,Tu as un livre.,A1
74,Je m'appelle Marie.,A1
75,Il a un chien.,A1
76,"Bonjour, comment ça va?",A1
77,Il fait beau aujourd'hui.,A1
78,Je suis étudiant.,A1
79,"Bonjour, comment ça va?",A1
80,Il fait beau aujourd'hui.,A1
81,Je suis étudiant.,A1
82,Il fait beau aujourd'hui.,A1
83,Elle est ma soeur.,A1
84,Je suis étudiant.,A1
85,Voici mon chat.,A1
86,Tu as un livre.,A1
87,Il a un chien.,A1
88,Nous allons à l'école.,A1
89,Je suis étudiant.,A1
90,Je m'appelle Marie.,A1
91,Il a un chien.,A1
92,Tu as un livre.,A1
93,J'aime le chocolat.,A1
94,J'aime le chocolat.,A1
95,Je m'appelle Marie.,A1
96,Il fait beau aujourd'hui.,A1
97,Elle est ma soeur.,A1
98,Il a un chien.,A1
99,Elle est ma soeur.,A1
100,"Bonjour, comment ça va?",A1
101,J'aime le chocolat.,A1
102,Tu as un livre.,A1
103,J'aime le chocolat.,A1
104,Il a un chien.,A1
105,Nous allons à l'école.,A1
106,Voici mon chat.,A1
107,Voici mon chat.,A1
108,"Bonjour, comment ça va?",A1
109,Voici mon chat.,A1
110,Je m'appelle Marie.,A1
111,Voici mon chat.,A1
112,Je suis étudiant.,A1
113,Il a un chien.,A1
114,"Bonjour, comment ça va?",A1
115,Je m'appelle Marie.,A1
116,J'aime le chocolat.,A1
117,Je suis étudiant.,A1
118,Tu as un livre.,A1
119,Voici mon chat.,A1
120,Il a un chien.,A1
121,"Bonjour, comment ça va?",A1
122,Tu as un livre.,A1
123,Il fait beau aujourd'hui.,A1
124,"Bonjour, comment ça va?",A1
125,Elle est ma soeur.,A1
126,Il a un chien.,A1
127,Il fait beau aujourd'hui.,A1
128,Elle est ma soeur.,A1
129,Tu as un livre.,A1
130,Elle est ma soeur.,A1
131,Elle est ma soeur.,A1
132,Je suis étudiant.,A1
133,Je m'appelle Marie.,A1
134,Nous allons à l'école.,A1
135,Il fait beau aujourd'hui.,A1
136,Nous allons à l'école.,A1
137,Nous allons à l'école.,A1
138,Il fait beau aujourd'hui.,A1
139,Je suis étudiant.,A1
140,Tu as un livre.,A1
141,Il fait beau aujourd'hui.,A1
142,J'aime le chocolat.,A1
143,Il fait beau aujourd'hui.,A1
144,Je m'appelle Marie.,A1
145,Il a un chien.,A1
146,Il a un chien.,A1
147,Elle est ma soeur.,A1
148,J'aime le chocolat.,A1
149,Je suis étudiant.,A1
150,J'aime le chocolat.,A1
151,Je m'appelle Marie.,A1
152,Il fait beau aujourd'hui.,A1
153,"Bonjour, comment ça va?",A1
154,Je m'appelle Marie.,A1
155,Elle est ma soeur.,A1
156,J'aime le chocolat.,A1
157,"Bonjour, comment ça va?",A1
158,Nous allons à l'école.,A1
159,Il a un chien.,A1
160,Je m'appelle Marie.,A1
161,Nous allons à l'école.,A1
162,Elle est ma soeur.,A1
163,Elle est ma soeur.,A1
164,Nous allons à l'école.,A1
165,Il a un chien.,A1
166,Tu as un livre.,A1
167,"Bonjour, comment ça va?",A1
168,Je suis étudiant.,A1
169,Il fait beau aujourd'hui.,A1
170,Tu as un livre.,A1
171,Tu as un livre.,A1
172,Elle est ma soeur.,A1
173,Nous allons à l'école.,A1
174,Il fait beau aujourd'hui.,A1
175,Il fait beau aujourd'hui.,A1
176,Nous allons à l'école.,A1
177,Elle est ma soeur.,A1
178,Je m'appelle Marie.,A1
179,"Bonjour, comment ça va?",A1
180,J'aime le chocolat.,A1
181,Je m'appelle Marie.,A1
182,J'aime le chocolat.,A1
183,"Bonjour, comment ça va?",A1
184,Voici mon chat.,A1
185,Il a un chien.,A1
186,Elle est ma soeur.,A1
187,Nous allons à l'école.,A1
188,Elle est ma soeur.,A1
189,J'aime le chocolat.,A1
190,"Bonjour, comment ça va?",A1
191,J'aime le chocolat.,A1
192,Je m'appelle Marie.,A1
193,Nous allons à l'école.,A1
194,Tu as un livre.,A1
195,J'aime le chocolat.,A1
196,Il fait beau aujourd'hui.,A1
197,Elle est ma soeur.,A1
198,Voici mon chat.,A1
199,Je m'appelle Marie.,A1
200,Je m'appelle Marie.,A1
201,Tu as un livre.,A1
202,Elle est ma soeur.,A1
203,Je m'appelle Marie.,A1
204,Elle est ma soeur.,A1
205,Je m'appelle Marie.,A1
206,Elle est ma soeur.,A1
207,Il a un chien.,A1
208,Je m'appelle Marie.,A1
209,J'aime le chocolat.,A1
210,"Bonjour, comment ça va?",A1
211,"Bonjour, comment ça va?",A1
212,Tu as un livre.,A1
213,Elle est ma soeur.,A1
214,Tu as un livre.,A1
215,Je m'appelle Marie.,A1
216,Elle est ma soeur.,A1
217,Tu as un livre.,A1
218,Je m'appelle Marie.,A1
219,Je m'appelle Marie.,A1
220,"Bonjour, comment ça va?",A1
221,"Bonjour, comment ça va?",A1
222,"Bonjour, comment ça va?",A1
223,Nous allons à l'école.,A1
224,Nous allons à l'école.,A1
225,Il a un chien.,A1
226,Il fait beau aujourd'hui.,A1
227,Il fait beau aujourd'hui.,A1
228,Tu as un livre.,A1
229,Il fait beau aujourd'hui.,A1
230,Il fait beau aujourd'hui.,A1
231,Elle est ma soeur.,A1
232,Je m'appelle Marie.,A1
233,Voici mon chat.,A1
234,Nous allons à l'école.,A1
235,Nous allons à l'école.,A1
236,Tu as un livre.,A1
237,Voici mon chat.,A1
238,Tu as un livre.,A1
239,Il a un chien.,A1
240,Il fait beau aujourd'hui.,A1
241,Elle est ma soeur.,A1
242,Elle est ma soeur.,A1
243,Voici mon chat.,A1
244,Voici mon chat.,A1
245,Je m'appelle Marie.,A1
246,Il a un chien.,A1
247,J'aime le chocolat.,A1
248,J'aime le chocolat.,A1
249,Elle est ma soeur.,A1
250,Nous allons à l'école.,A1
251,Nous allons à l'école.,A1
252,Il fait beau aujourd'hui.,A1
253,Je suis étudiant.,A1
254,Elle est ma soeur.,A1
255,Il fait beau aujourd'hui.,A1
256,Elle est ma soeur.,A1
257,Elle est ma soeur.,A1
258,Il a un chien.,A1
259,J'aime le chocolat.,A1
260,Nous allons à l'école.,A1
261,Voici mon chat.,A1
262,Elle est ma soeur.,A1
